,Color,Gravel(%),Sand(%),Fine Grained particles ( %),Liquid Limit (%),Plastic Limit (%),Classification
0,0.2,0.111,0.682,0.5,0.508,0.529,0.1
1,0.2,0.0,0.536,0.6659999999999999,0.5760000000000001,0.647,0.292
2,0.1,0.0,0.32899999999999996,0.8690000000000001,0.711,0.735,0.203
3,0.3,0.0,0.7559999999999999,0.452,0.491,0.529,0.129
4,0.5,0.0,0.585,0.619,0.627,0.852,0.608
5,0.2,0.0,0.524,0.6779999999999999,0.5760000000000001,0.6759999999999999,0.328
6,0.5,0.0,0.573,0.63,0.61,0.823,0.595
7,0.2,0.0,0.512,0.69,0.5760000000000001,0.647,0.296
8,0.1,0.0,0.341,0.857,0.6940000000000001,0.705,0.193
9,0.2,0.0,0.5479999999999999,0.654,0.5760000000000001,0.647,0.289
10,0.7,0.0,0.353,0.845,0.677,1.0,0.614
11,0.5,0.0,0.585,0.619,0.61,0.823,0.594
12,0.2,0.222,0.682,0.47600000000000003,0.508,0.529,0.0842
13,0.1,0.0,0.317,0.88,0.728,0.764,0.211
14,0.1,0.0,0.341,0.857,0.711,0.735,0.21
15,0.2,0.166,0.67,0.5,0.525,0.5579999999999999,0.112
